Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions & others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Commitment v1: Nvidia H100 80GB Plus GPU running in Americas for 1 Year,6CA6-FB4B-081C,"57,843.956",hour,411478.38,-197509.62,0.00,-8094.35,205874.408236,205874.41,194%
Vertex AI,C7E2-9256-1C43,Vertex AI: Provisioned Throughput 1 Year,9192-74A6-DE45,20.029,month,40057.00,0.00,0.00,-1517.48,38539.520384,38539.52,-3%
Cloud Spanner,CC63-0873-48FD,Commitment - dollar based v1: Cloud Spanner for 1 year,131F-4968-89D1,"2,744,669.278",hour,21957.35,0.00,0.00,-831.52,21125.833871,21125.83,-6%
Compute Engine,6F81-5844-456A,Commitment v1: N2 Cpu in Americas for 1 Year,672D-3FDD-7138,"1,089,582.375",hour,21699.03,-2603.88,0.00,-721.44,18373.710504,18373.71,-6%
Security Command Center,FBF2-FC68-171A,Security Command Center Enterprise Subscription,7377-4D53-C7C3,"1,651,501.587",month,16513.93,0.00,0.00,-625.20,15888.729515,15888.73,-3%
Compute Engine,6F81-5844-456A,Commitment v1: A3Plus Cpu in Americas for 1 Year,DACA-986D-F8F7,"1,505,868",hour,27939.11,-13410.77,0.00,-548.90,13979.437079,13979.44,195%
Compute Engine,6F81-5844-456A,Commitment v1: Nvidia L4 GPU running in Las Vegas for 1 Year,CE2F-57D1-0D37,"40,466.3",hour,16080.79,-1929.69,0.00,-535.65,13615.439893,13615.44,-6%
Vertex AI,C7E2-9256-1C43,Vertex AI: Provisioned Throughput 1 month,3BA2-F5EA-B713,5.007,month,13519.06,0.00,0.00,-512.15,13006.905398,13006.91,-3%
Cloud Bigtable,C3BE-24A5-0975,Commitment - dollar based v1: Cloud Bigtable for 1 year,B5A6-424E-9B40,"1,588,926.167",hour,12711.41,0.00,0.00,-481.41,12230.002546,12230.00,-6%
Cloud Memorystore for Redis,5AF5-2C11-D467,Commitment - dollar based v1: Memorystore for 1 year,15A2-40AC-9DCD,"1,571,866.404",hour,12574.93,0.00,0.00,-476.37,12098.556003,12098.56,-6%
Compute Engine,6F81-5844-456A,Commitment v1: A3Plus Ram in Americas for 1 Year,EB13-140E-153B,"13,527,306",gibibyte hour,21854.97,-10490.40,0.00,-430.18,10934.396270,10934.40,193%
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Americas for 1 Year,6FDA-DB41-BB57,"645,292.963",hour,12851.01,-1542.12,0.00,-428.07,10880.817884,10880.82,-6%
Compute Engine,6F81-5844-456A,Commitment v1: N2 Ram in Americas for 1 Year,2F6C-EB97-C718,"4,376,681.698",gibibyte hour,11681.36,-1401.76,0.00,-388.61,9890.988906,9890.99,-6%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Basic SSD (Premium) Iowa/South Carolina/Oregon,A511-3202-0505,"30,338.854",gibibyte month,9100.59,-1001.07,0.00,-337.10,7762.423418,7762.42,-35%
Compute Engine,6F81-5844-456A,Commitment v1: G2 Cpu in Las Vegas for 1 Year,A485-396F-609B,"486,118.8",hour,8619.30,-1034.32,0.00,-286.80,7298.184725,7298.18,-6%
Compute Engine,6F81-5844-456A,Nvidia Tesla A100 80GB GPU running in Singapore,1C49-8ADA-54A8,"1,662.19",hour,8055.09,-886.06,0.00,-471.89,6697.143150,6697.14,-48%
